time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1981-01-01T12:44:07.300Z,7.779,126.31,23,5.2,mb,,,,,us,usp0001bj9,2014-11-06T23:24:28.495Z,
1981-01-01T11:09:44.080Z,40.416,-125.3961667,18.022,2.9,md,18,294,0.8117,0.13,nc,nc1058772,2016-12-12T17:58:46.974Z,
1981-01-01T11:09:23.300Z,39.435,23.861,10,3.2,ml,,,,,us,usp0001bj8,2014-11-06T23:24:28.494Z,
1981-01-01T09:12:44.300Z,-23.717,179.901,461,4.9,mb,,,,,us,usp0001bj6,2014-11-06T23:24:28.492Z,
1981-01-01T08:10:06.600Z,36.946,21.09,10,3.6,ml,,,,,us,usp0001bj4,2014-11-06T23:24:28.490Z,
1981-01-01T07:18:06.880Z,38.2166667,-118.4381667,4.209,2.78,mh,4,330,,0.19,ci,ci3301569,2016-02-03T02:53:02.880Z,
1981-01-01T03:29:36.000Z,17.044,-94.258,122,5.2,mb,,,,,us,usp0001bj3,2014-11-06T23:24:28.489Z,
1981-01-01T01:08:12.700Z,39.137,25.315,10,3.3,ml,,,,,us,usp0001bj2,2014-11-06T23:24:28.489Z,
1982-12-31T23:58:27.530Z,16.989,147.23,55.5,5,mb,,,,0.9,us,usp0001rxr,2014-11-07T00:32:23.590Z,
1982-12-31T23:24:23.190Z,36.689,141.382,51.6,4.3,mb,,,,1.2,us,usp0001rxq,2014-11-07T00:32:23.587Z,
1982-12-31T22:41:00.010Z,35.801,-117.741,3.495,2.91,mc,0,85.3,0.1087,0.189,ci,ci500910,2016-02-03T03:41:37.110Z,
1982-12-31T22:40:48.850Z,35.808,-117.742,5.155,2.62,mc,0,57.7,,0.147,ci,ci500909,2016-02-02T19:41:52.980Z,
1982-12-31T22:19:19.470Z,-17.449,124.154,33,4.5,mb,,,,0.8,us,usp0001rxp,2014-11-07T00:32:23.585Z,
1982-12-31T22:02:44.600Z,35.814,-117.745,2.719,2.6,mc,0,58.7,,0.122,ci,ci500898,2016-02-03T02:21:11.640Z,
1982-12-31T22:02:41.340Z,35.81,-117.734,6.213,2.52,mc,0,106,0.02517,0.109,ci,ci500901,2016-02-02T22:19:16.610Z,
1982-12-31T20:48:05.380Z,35.811,-117.744,5.379,2.51,ml,0,58.3,0.01715,0.148,ci,ci500888,2016-02-02T18:21:46.530Z,
1982-12-31T20:46:52.830Z,35.81,-117.745,5.409,2.71,ml,0,57.8,,0.15,ci,ci500887,2016-02-02T23:37:52.750Z,
1982-12-31T20:45:15.590Z,43.19,-1.722,10,2.8,ml,,,,1.3,us,usp0001rxm,2014-11-07T00:32:23.580Z,
1982-12-31T20:42:02.300Z,43.02,-1.976,10,3.5,ml,,,,0.8,us,usp0001rxk,2014-11-07T00:32:23.577Z,
1982-12-31T20:32:59.420Z,35.811,-117.741,4.559,2.92,mc,0,58.8,,0.179,ci,ci500882,2016-02-02T18:21:45.080Z,
1982-12-31T19:56:07.650Z,35.809,-117.746,5.069,3.43,ml,0,57.1,,0.16,ci,ci500863,2016-02-02T18:21:43.620Z,
1982-12-31T19:52:56.800Z,35.808,-117.742,4.619,2.97,ml,0,57.6,0.1156,0.15,ci,ci501122,2016-02-03T00:58:00.160Z,
1982-12-31T19:52:30.620Z,35.81,-117.746,4.674,2.99,ml,0,93.8,0.01543,0.16,ci,ci500860,2016-02-02T22:19:14.410Z,
1982-12-31T19:50:08.900Z,35.809,-117.741,4.599,3.5,ml,0,58.4,,0.203,ci,ci500859,2016-02-03T02:21:08.500Z,
1982-12-31T19:48:00.310Z,13.928,-47.598,10,5.1,mb,,,,1.1,us,usp0001rxf,2014-11-07T00:32:23.566Z,
1982-12-31T19:46:45.470Z,42.796,77.423,24,5.8,mb,,,,0.9,us,usp0001rxe,2016-11-10T00:20:05.826Z,
1982-12-31T19:32:48.750Z,37.394,-32.19,10,5,ms,,,,0.8,us,usp0001rxd,2014-11-07T00:32:23.497Z,
1982-12-31T19:13:15.690Z,33.938,-118.841,0.868,2.69,mc,0,289.4,,0.146,ci,ci500857,2016-02-02T18:21:42.330Z,
1982-12-31T19:05:53.470Z,13.872,120.678,115.1,4.7,mb,,,,1.2,us,usp0001rxc,2014-11-07T00:32:23.483Z,
1982-12-31T18:11:03.100Z,43.318,16.783,10,3.4,ml,,,,1.2,us,usp0001rxa,2014-11-07T00:32:23.480Z,
1982-12-31T18:08:52.250Z,39.4385,-120.722,18.022,2.75,md,14,253,0.4027,0.08,nc,nc1083727,2016-12-12T15:48:29.357Z,
1982-12-31T17:09:08.230Z,-1.549,-78.039,171,4.6,mb,,,,0.7,us,usp0001rx9,2014-11-07T00:32:23.475Z,
1982-12-31T16:52:44.650Z,35.813,-117.747,5.149,2.92,mc,0,58,,0.157,ci,ci500849,2016-02-02T19:41:48.990Z,
1982-12-31T16:41:54.580Z,35.809,-117.747,5.099,2.92,mc,0,56.8,,0.185,ci,ci500844,2016-02-02T23:37:50.340Z,
1982-12-31T16:30:51.210Z,35.81,-117.746,5.009,2.76,mc,0,57.4,,0.19,ci,ci500843,2016-02-02T21:00:17.320Z,
1982-12-31T14:43:16.330Z,5.354,126.732,113,4.9,mb,,,,1.1,us,usp0001rx7,2014-11-07T00:32:23.468Z,
1982-12-31T13:41:48.790Z,-3.561,177.729,26,5.3,mb,,,,0.9,us,usp0001rx6,2016-11-10T00:20:07.374Z,
1982-12-31T12:59:42.650Z,36.308,141.575,56.6,4.6,mb,,,,0.8,us,usp0001rx5,2014-11-07T00:32:23.457Z,
1982-12-31T11:04:03.600Z,67.806,-161.348,33,4.5,mb,,,,1,us,usp0001rx4,2014-11-07T00:32:23.454Z,
1982-12-31T10:45:27.640Z,34.035,-116.86,13.093,2.57,mc,0,27.8,,0.185,ci,ci500803,2016-02-02T18:21:38.900Z,
1982-12-31T10:37:03.640Z,28.585,128.512,33,4.3,mb,,,,1.1,us,usp0001rx3,2014-11-07T00:32:23.452Z,
1982-12-31T10:16:44.410Z,35.812,-117.745,5.279,2.92,mc,0,58,,0.154,ci,ci500791,2016-02-03T00:57:53.570Z,
1982-12-31T09:58:00.760Z,28.677,128.542,24.6,5.4,ms,,,,1.2,us,usp0001rx2,2016-11-10T00:20:06.853Z,
1982-12-31T09:37:39.490Z,-3.371,177.57,33,4.9,mb,,,,0.5,us,usp0001rx1,2014-11-07T00:32:23.441Z,
1982-12-31T09:15:39.720Z,35.818,-117.741,5.779,2.67,mc,0,60.9,,0.138,ci,ci500751,2016-02-02T22:19:09.710Z,
1982-12-31T09:07:23.380Z,35.809,-117.737,5.275,4.04,ml,0,59.1,,0.264,ci,ci503703,2016-02-02T18:21:49.430Z,
1982-12-31T06:21:49.630Z,35.811,-117.737,5.175,2.96,ml,0,59.5,,0.15,ci,ci500735,2016-02-02T18:21:36.570Z,
1982-12-31T03:53:59.650Z,-4.351,143.405,103.5,4.6,mb,,,,1.2,us,usp0001rww,2014-11-07T00:32:23.432Z,
1982-12-31T03:47:28.510Z,-20.993,-68.464,118,6,mw,,,,0.9,us,usp0001rwv,2016-11-10T00:20:05.288Z,
1982-12-31T03:38:47.510Z,-23.41,-175.445,33,5,mb,,,,1.4,us,usp0001rwu,2014-11-07T00:32:23.406Z,
1982-12-31T02:46:50.730Z,-10.743,-78.962,28,5,mb,,,,0.9,us,usp0001rws,2014-11-07T00:32:23.397Z,
1982-12-31T02:08:10.480Z,35.811,-117.736,5.185,2.61,mc,0,59.9,,0.148,ci,ci500718,2016-02-02T23:37:43.280Z,
1982-12-31T01:54:44.990Z,17.193,-100.528,28.1,4.7,mb,,,,1.1,us,usp0001rwq,2014-11-07T00:32:23.393Z,
1982-12-31T01:35:35.230Z,-21.386,-68.046,130,5.3,mb,,,,1,us,usp0001rwp,2016-11-10T00:20:06.323Z,
1982-12-30T23:19:28.860Z,36.6448333,-121.2628333,4.066,3.32,md,66,54,0.003604,0.12,nc,nc1083705,2016-12-12T15:47:06.880Z,
1982-12-30T22:30:24.130Z,33.953,-118.799,-0.497,2.91,mc,0,246.6,,0.388,ci,ci500713,2016-02-03T02:21:03.800Z,
1982-12-30T20:18:11.780Z,33.792,139.822,33,4.7,mb,,,,1.3,us,usp0001rwn,2014-11-07T00:32:23.367Z,
1982-12-30T18:32:01.060Z,32.001,-116.286,5.746,2.98,mc,0,273.6,,0.436,ci,ci500694,2016-02-03T03:41:23.770Z,
1982-12-30T18:24:24.850Z,-11.135,162.75,33,4.3,mb,,,,1,us,usp0001rwg,2014-11-07T00:32:23.359Z,
1982-12-30T18:08:44.380Z,-21.554,-66.985,224.2,4.4,mb,,,,1.4,us,usp0001rwf,2014-11-07T00:32:23.357Z,
1982-12-30T18:07:44.210Z,-11.225,162.558,33,4.7,mb,,,,1.3,us,usp0001rwe,2014-11-07T00:32:23.351Z,
1982-12-30T18:01:03.040Z,-11.217,162.756,33,4.6,mb,,,,1.3,us,usp0001rwd,2014-11-07T00:32:23.350Z,
1982-12-30T17:50:09.980Z,-6.201,130.466,142.5,4.9,mb,,,,1.1,us,usp0001rwc,2014-11-07T00:32:23.347Z,
1982-12-30T14:02:10.150Z,28.46,128.315,33,4.7,mb,,,,1.4,us,usp0001rw7,2014-11-07T00:32:23.339Z,
